Rank,Rank_Changes,Country_Name,Speed(Mbps)
1.0,-,United Arab Emirates,211.58
2.0,-,Qatar,187.55
3.0,+2,China,167.98
4.0,-1,Kuwait,161.66
5.0,+3,Macau (SAR),151.94
6.0,-2,Norway,143.44
7.0,+2,Iceland,131.62
8.0,+7,Bulgaria,128.83
9.0,-3,Denmark,127.5
10.0,-3,South Korea,121.07
11.0,-1,Netherlands,120.36
12.0,-1,Brunei,102.82
13.0,+30,Portugal,101.31
14.0,+2,Sweden,98.85
15.0,+4,United States,97.09
16.0,-4,Australia,96.05
17.0,-4,Saudi Arabia,95.06
18.0,+2,Luxembourg,92.36
19.0,-2,Finland,92.27
20.0,+19,Croatia,91.4
21.0,-3,Switzerland,90.52
22.0,-8,Bahrain,90.49
23.0,-2,Singapore,85.69
24.0,-1,Canada,85.1
25.0,+2,Lithuania,83.5
26.0,+2,France,82.62
27.0,-3,Austria,82.39
28.0,+5,North Macedonia,82.0
29.0,-4,Estonia,78.03
30.0,-4,Maldives,74.34
31.0,-,Taiwan,73.03
32.0,-10,Uruguay,72.94
33.0,-4,New Zealand,70.01
34.0,+8,Greece,68.98
35.0,+2,Latvia,68.18
36.0,+5,Hong Kong (SAR),67.9
37.0,-7,Belgium,67.63
38.0,-6,Cyprus,66.33
39.0,-4,Oman,64.08
40.0,+6,Slovenia,62.06
41.0,-7,Malaysia,61.5
42.0,-4,Germany,60.65
43.0,+4,India,54.05
44.0,+1,Romania,53.14
45.0,+8,Czechia,52.29
46.0,-2,Serbia,51.39
47.0,-7,Malta,51.25
48.0,+18,Montenegro,51.02
49.0,+12,Albania,50.85
50.0,+10,Italy,48.72
51.0,-1,Brazil,47.02
52.0,+3,Poland,47.0
53.0,+3,Hungary,46.03
54.0,+32,Kosovo,45.45
55.0,+2,Slovakia,45.1
56.0,-2,Azerbaijan,44.88
57.0,+1,Japan,44.5
58.0,-9,Vietnam,44.13
59.0,+3,United Kingdom,43.99
60.0,-12,South Africa,43.8
61.0,-2,Thailand,40.67
62.0,+9,Spain,40.21
63.0,-12,Mauritius,38.7
64.0,+11,Morocco,36.64
65.0,+4,Georgia,36.31
66.0,-3,Kazakhstan,36.03
67.0,-3,Israel,35.98
68.0,-,Turkey,35.92
69.0,-4,Togo,35.56
70.0,+58,Ethiopia,34.72
71.0,+2,Ireland,34.03
72.0,-36,Uganda,32.94
73.0,+9,Lebanon,32.25
74.0,-,Chile,31.88
75.0,-3,Iran,31.67
76.0,-6,Jamaica,31.66
77.0,-10,Moldova,31.14
78.0,+2,Trinidad and Tobago,29.1
79.0,-3,Guatemala,28.89
80.0,+3,Honduras,27.98
81.0,+15,Zimbabwe,27.91
82.0,-4,Iraq,27.45
83.0,-6,Costa Rica,27.22
84.0,-,Laos,27.1
85.0,+19,Nigeria,26.6
86.0,+5,Philippines,26.36
87.0,+1,Argentina,26.24
88.0,-9,Kyrgyzstan,26.09
89.0,+1,Mexico,25.86
90.0,-9,Guyana,25.42
91.0,+3,Russia,25.17
92.0,+5,Cambodia,25.08
93.0,+7,Tunisia,25.06
94.0,-5,Ukraine,25.01
95.0,-2,El Salvador,24.48
96.0,-9,Senegal,24.41
97.0,+2,Egypt,24.25
98.0,-3,Indonesia,23.98
99.0,+4,Myanmar (Burma),23.86
100.0,+1,Uzbekistan,23.63
101.0,+4,Tanzania,22.79
102.0,-,Ecuador,22.73
103.0,+4,Bosnia and Herzegovina,22.47
104.0,+5,Kenya,22.44
105.0,+5,Jordan,21.59
106.0,+9,Côte d'Ivoire,21.34
107.0,-9,Armenia,21.33
108.0,-2,Dominican Republic,21.33
109.0,-1,Mozambique,21.19
110.0,+4,Algeria,21.08
111.0,-,DR Congo,20.8
112.0,+4,Burkina Faso,20.36
113.0,+5,Bangladesh,20.03
114.0,+8,Angola,19.44
115.0,+8,Panama,18.92
116.0,+1,Paraguay,18.11
117.0,+8,Zambia,18.08
118.0,+2,Fiji,17.75
119.0,+7,Sri Lanka,17.52
120.0,+1,Peru,17.1
121.0,-9,Papua New Guinea,16.81
122.0,+7,Somalia,16.43
123.0,+1,Nicaragua,16.34
124.0,-5,Mongolia,16.33
125.0,+2,Pakistan,15.82
126.0,-13,Namibia,14.53
127.0,+3,Cameroon,12.73
128.0,+6,Nepal,12.64
129.0,+2,Colombia,12.5
130.0,+5,Belarus,11.49
131.0,+6,Ghana,11.43
132.0,+4,Syria,11.08
133.0,+8,Venezuela,10.74
134.0,+4,Haiti,10.5
135.0,+5,Bolivia,10.07
136.0,+3,Tajikistan,9.76
137.0,-5,Libya,9.7
138.0,+5,Sudan,7.26
139.0,+3,Yemen,6.99
140.0,+5,Cuba,5.31
141.0,+3,Afghanistan,4.89
